prefecture,city,number,address,name,lat,long
東京都,板橋区,9_6,幸町26番1号,板橋第二中学校（東）,35.7458239,139.6972457
東京都,板橋区,9_7,幸町26番1号,板橋第二中学校（西）,35.7458239,139.6972457
東京都,板橋区,9_8,幸町46番,幸町４６番遊び場（南）,35.7438804,139.6958439
東京都,板橋区,10_1,赤塚新町3丁目13番先,歩道,35.7716934,139.6373986
東京都,板橋区,10_2,赤塚新町3丁目14番先,歩道,35.7720091,139.636761
東京都,板橋区,10_3,赤塚新町3丁目31番1号,赤塚新町小学校（西）,35.7690004,139.636669
東京都,板橋区,10_4,赤塚新町3丁目31番1号,赤塚新町小学校（南）,35.7690004,139.636669
東京都,板橋区,10_5,赤塚新町3丁目32番1号,光が丘パークタウン１号棟北側駐車場,35.7701399,139.6365212
東京都,板橋区,10_6,赤塚新町3丁目32番11号,ゆりの木保育園前,35.769306,139.6386214
東京都,板橋区,10_7,赤塚新町3丁目35番1号,赤塚新町公園（南）,35.770108,139.638828
東京都,板橋区,11_1,栄町1番3号,大山公園（東）,35.7546808,139.7042407
東京都,板橋区,11_2,栄町6番1号,板橋第九小学校（南）,35.7546798,139.7042631
東京都,板橋区,11_3,栄町14番1号,中根橋小学校（北）,35.7555071,139.7009474
東京都,板橋区,11_4,栄町14番1号,中根橋小学校（南）,35.7555071,139.7009474
東京都,板橋区,11_5,栄町27番3号,(公財)東京都保健医療公社豊島病院職員住宅,35.7525801,139.7020592
東京都,板橋区,11_6,栄町33番1号,(公財)東京都保健医療公社豊島病院駐輪場,35.7527665,139.7009785
東京都,板橋区,11_7,栄町33番1号,(公財)東京都保健医療公社豊島病院（北）,35.7527665,139.7009785
東京都,板橋区,11_8,中板橋24番3号,中板橋駅北口自転車駐車場,35.7562126,139.6951359
東京都,板橋区,12_1,仲町20番5号,仲町ふれあい館,35.7511479,139.6964087
東京都,板橋区,12_2,仲町1番4号,(医)明芳会(福)明東会　クローバーのさと(北),35.7529926,139.6976937
東京都,板橋区,12_3,弥生町16番1号,三葉児童遊園,35.7530307,139.6947271
東京都,板橋区,12_4,弥生町19番1号,弥生小学校（西）,35.7537305,139.6945782
東京都,板橋区,12_5,弥生町19番1号,弥生小学校（北）,35.7537305,139.6945782
東京都,板橋区,12_6,弥生町19番1号,弥生小学校（東）,35.7537305,139.6945782
東京都,板橋区,12_7,弥生町59番10号,民宅,35.7548296,139.6923261
東京都,板橋区,12_8,弥生町73番1号,弥生公園（南）,35.7524681,139.6929721
東京都,板橋区,13_1,大谷口上町30番1号,日本大学医学部附属板橋病院（東）,35.7490948,139.6921481
東京都,板橋区,13_2,大谷口上町30番1号,日本大学医学部附属板橋病院（西）,35.7490948,139.6921481
東京都,板橋区,13_3,大谷口上町43番1号,板橋第十小学校（東）,35.7470968,139.6923235
東京都,板橋区,13_4,大谷口上町50番3号,大谷口上町公園（東）,35.7473555,139.6915351
東京都,板橋区,13_5,大谷口1丁目54番1号,都立板橋高等学校（南）,35.7411141,139.688565
東京都,板橋区,13_6,大谷口1丁目54番1号,都立板橋高等学校（西）,35.7411141,139.688565
東京都,板橋区,13_7,大谷口2丁目8番,旧大谷口幼稚園（北）,35.7461262,139.6884254
東京都,板橋区,13_8,向原3丁目1番12号,上板橋第二中学校（東）,35.7436631,139.6861716
東京都,板橋区,14_1,大谷口北町21番1号,大谷口小学校（西）,35.7510648,139.6899509
東京都,板橋区,14_2,大谷口北町21番1号,大谷口小学校（北）,35.7510648,139.6899509
東京都,板橋区,14_3,大谷口北町31-10,都営大谷口北町第２アパート10号棟,35.7499092,139.6884496
東京都,板橋区,14_4,大谷口北町31-10,都営大谷口北町第２アパート9号棟,35.7499092,139.6884496
東京都,板橋区,14_5,大谷口北町39番1号,私立かごめ幼稚園,35.7514801,139.6885351
東京都,板橋区,14_6,大谷口北町48番7号,民宅,35.7534201,139.6896852
東京都,板橋区,14_7,大谷口北町51番先,大谷口北町排水機所,35.7518322,139.6881861
東京都,板橋区,14_8,大谷口北町21番21号,大谷口児童遊園,35.7505442,139.6909829
東京都,板橋区,15_1,向原1丁目14番,小竹向原自転車駐車場,35.7417395,139.6836198
東京都,板橋区,15_2,向原1丁目18番5号,向原保育園,35.7425105,139.6848106
東京都,板橋区,15_3,向原1丁目18番10号,向原児童遊園（西）,35.7427086,139.6849159
東京都,板橋区,15_4,向原2丁目29番1号,向原公園（東）,35.7401902,139.6813268
東京都,板橋区,15_5,向原2丁目34番1号,向原小学校（西）,35.7414471,139.681591
東京都,板橋区,15_6,向原2丁目34番1号,向原小学校（南）,35.7414471,139.681591
東京都,板橋区,15_7,向原3丁目7番,コーシャハイム向原ガーデンコート,35.7458113,139.6844373
東京都,板橋区,15_8,向原3丁目7番1号,コーシャハイム向原4号棟,35.7459547,139.6844573
東京都,板橋区,16_1,小茂根1丁目2番1号,上板橋第一中学校（小茂根校舎）（西）,35.7477984,139.681262
東京都,板橋区,16_2,小茂根1丁目2番1号,上板橋第一中学校（小茂根校舎）（北）,35.7477984,139.681262
東京都,板橋区,16_3,小茂根1丁目17番1号,小茂根一丁目児童遊園（東）,35.7456841,139.6794925
東京都,板橋区,16_4,小茂根2丁目15番1号,小茂根二丁目公園（南）,35.7495762,139.6820446
東京都,板橋区,16_5,小茂根3丁目12番,小茂根福祉園,35.7504561,139.6785355
東京都,板橋区,16_6,小茂根4丁目16番,小茂根四丁目１６番遊び場（西）,35.7495885,139.6757343
東京都,板橋区,16_7,小茂根4丁目16番1号,小茂根四丁目公園（東）,35.7492402,139.6758589
東京都,板橋区,16_8,小茂根5丁目2番17号,茂呂山公園（西）,35.7505561,139.6775313
東京都,板橋区,16_9,小茂根5丁目18番1号,都立大山高等学校（東）,35.7534939,139.6747798
東京都,板橋区,17_1,稲荷台15番先,稲荷台第二児童遊園,35.7626376,139.712918
東京都,板橋区,17_2,稲荷台22番4号,東京電力(株)稲荷台変電所,35.7622756,139.7103246
東京都,板橋区,17_3,稲荷台23番1号,加賀小学校（南）,35.7614807,139.7104127
